Category: All categories

Day,Bitcoin: (United States)
2024-03-19,91
2024-03-20,83
2024-03-21,72
2024-03-22,63
2024-03-23,50
2024-03-24,51
2024-03-25,72
2024-03-26,68
2024-03-27,67
2024-03-28,67
2024-03-29,61
2024-03-30,49
2024-03-31,50
2024-04-01,64
2024-04-02,69
2024-04-03,60
2024-04-04,58
2024-04-05,55
2024-04-06,45
2024-04-07,49
2024-04-08,60
2024-04-09,61
2024-04-10,59
2024-04-11,54
2024-04-12,64
2024-04-13,72
2024-04-14,74
2024-04-15,69
2024-04-16,68
2024-04-17,73
2024-04-18,75
2024-04-19,100
